# var-closure-baseline.tsv -- ratcheted exemption ledger for
# automation/98-drift-checks.sh::check_var_closure (Law 9 ONE-CANONICAL-NAME, T-1052).
#
# WHAT THE GATE ASSERTS
#   Referenced is a subset of emitted: every MIOS_* a consumer reads is a name
#   the SSOT resolver emits.  The tree still violates that, so the gate RATCHETS
#   rather than blocking: every referenced-but-unemitted name that exists now is
#   recorded below with a sample location, and the count is pinned by the
#   ceiling.  (The count lives in #!ceiling, not in this prose, which went stale
#   at 425 while the ledger drained.)
#
#   EMITTED also covers a name supplied by a tracked .env projection named in
#   [laws.projection_registry].surfaces, because a consumer that sources one
#   gets the var without the resolver cascade.  That makes this gate depend on
#   check_ipa_enroll_projection, which is what proves such a file is a faithful
#   projection of its SSOT table rather than hand-written (T-1054).
#
#   VIOLATION if a name appears that is not recorded here -- a consumer would
#   read an unset variable;
#   VIOLATION if the count differs from the ceiling in either direction;
#   VIOLATION if the ledger, the resolver or python3 is missing or fails.
#
#   Why this ledger exists at all: until T-1052 the check scanned with an
#   INTERNAL_PATHS list that skipped usr/lib/mios, usr/libexec/mios, tools,
#   automation, config, docs, installation, usr/share/mios and var/lib/mios --
#   between them every tree a consumer lives in.  It reported
#   "emitted=2879 referenced=0 missing=0  PASS" on every run.  There was no
#   input that could make it fail.  Turning the scan on surfaced these at once;
#   pinning them is how the gate goes live without a 425-item rewrite first.
#
#   Do NOT add a row to silence a new name.  Either emit it from the SSOT
#   cascade or stop referencing it.
#
# COMPARISON IS BY NAME ONLY
#   The second column is a sample location and is informational -- line numbers
#   move.  The gate compares the NAME set and the count.
#
# CEILING
#   #!ceiling is the number of names and it is EXACT.  More is a regression.
#   FEWER is also a failure: fixing a name must be paid for by tightening this
#   number in the same commit, which is how a ledger drains instead of settling.
#
#!ceiling 413
#
# name	sample location
MIOS_ADMIT_ENABLE	usr/lib/mios/agent-pipe/server.py:607
MIOS_SCRATCHPAD_SUMMARY_CHARS	usr/lib/mios/agent-pipe/server.py:1747
MIOS_SCRATCHPAD_TTL_S	usr/lib/mios/agent-pipe/server.py:1745
MIOS_SCRATCH_DIR	automation/lib/paths.sh:14
MIOS_SECONDARY_REPLAN_MAX	usr/lib/mios/agent-pipe/server.py:1435
MIOS_SECONDARY_TOOL_ITERS	usr/lib/mios/agent-pipe/server.py:474
MIOS_SECONDARY_TOOL_LOOP	usr/lib/mios/agent-pipe/server.py:472
MIOS_SECRET_PATTERN	usr/lib/mios/agent-pipe/mios_pipe/redact.py:36
MIOS_SEED_DB_CONFIG	usr/lib/mios/agent-pipe/mios_pipe/routing/portal.py:1400
MIOS_SELF_HEAL_LOG	usr/libexec/mios/ai/self_heal.py:336
MIOS_SELF_HEAL_STATE	usr/libexec/mios/ai/self_heal.py:339
MIOS_SESSION_ID	usr/libexec/mios/user/session_migrate.py:269
MIOS_SGLANG	tools/generate-names-registry.py:31
MIOS_SIGNING_CERT	tools/sign-powershell.ps1:21
MIOS_SKIP_AI_CLIS	usr/libexec/mios/install-ai-clis.sh:7
MIOS_SKIP_BIB	installation/mios-install.sh:254
MIOS_SKIP_DATA_DISK	build-mios.ps1:438
MIOS_SKIP_DEV_QUADLETS	build-mios.ps1:2585
MIOS_SKIP_LAUNCHER	build-mios.ps1:4746
MIOS_SKIP_MOTD	Get-MiOS.ps1:3415
MIOS_SKIP_NVIDIA_INSTALL	usr/libexec/mios/install-nvidia-wsl-userland.sh:6
MIOS_SKIP_PODMAN_RESTORE	build-mios.ps1:4180
MIOS_SKIP_WINDOWS_BRANDING	build-mios.ps1:4331
MIOS_SLOW_LANES	usr/lib/mios/agent-pipe/server.py:398
MIOS_SLOW_LANE_BLOCK_CHARS	usr/lib/mios/agent-pipe/server.py:399
MIOS_SLOW_LANE_TOOL_CAP	usr/lib/mios/agent-pipe/server.py:421
MIOS_SMARTROUTE_BUDGET	usr/lib/mios/agent-pipe/server.py:1261
MIOS_SMARTROUTE_ENABLE	usr/lib/mios/agent-pipe/server.py:1259
MIOS_SOURCES_REGISTRY_CAP	usr/lib/mios/agent-pipe/server.py:1798
MIOS_SSE_KEEPALIVE_S	usr/lib/mios/agent-pipe/sse_streamer.py:79
MIOS_SSE_MODEL	usr/lib/mios/agent-pipe/sse_streamer.py:76
MIOS_SSE_PUSH_TIMEOUT_S	usr/lib/mios/agent-pipe/sse_streamer.py:77
MIOS_SSOT_LINT_ROOT	automation/97-ssot-lint.sh:13
MIOS_SSOT_LINT_SOFT	automation/97-ssot-lint.sh:19
MIOS_STABLE_PREFIX_HINT	usr/lib/mios/agent-pipe/server.py:1702
MIOS_STABLE_PREFIX_TAIL	usr/lib/mios/agent-pipe/server.py:1700
MIOS_STABLE_TOOL_PREFIX	usr/lib/mios/agent-pipe/server.py:1697
MIOS_STAGE	automation/install-bootstrap.sh:147
MIOS_STAGE_REPOS	installation/stage-mios-repo.sh:183
MIOS_STATE_DIR	usr/libexec/mios/user-setup.sh:17
MIOS_STATUS_AS_REASONING	usr/lib/mios/agent-pipe/mios_pipe/routing/sse.py:14
MIOS_STRESS_ENDPOINT	usr/lib/mios/agent-pipe/mios_pipe/scheduler/stress.py:171
MIOS_STRESS_LOAD_CEILING	usr/lib/mios/agent-pipe/mios_pipe/scheduler/stress.py:177
MIOS_STRESS_MODEL	usr/lib/mios/agent-pipe/mios_pipe/scheduler/stress.py:172
MIOS_STRICT_VERB_ALIASES	usr/lib/mios/agent-pipe/mios_pipe/routing/verbcatalog.py:520
MIOS_SURFACE_DEFAULT	usr/lib/mios/agent-pipe/server.py:2742
MIOS_SURFER_APPID	automation/67-bake-surfer.sh:70
MIOS_SURFER_BINARY	automation/67-bake-surfer.sh:71
MIOS_SURFER_NAME	automation/67-bake-surfer.sh:68
MIOS_SURFER_PRODUCT	automation/67-bake-surfer.sh:75
MIOS_SURFER_VENDOR	automation/67-bake-surfer.sh:69
MIOS_SWARM_DECOMPOSE_DEFAULT	usr/lib/mios/agent-pipe/server.py:680
MIOS_SWARM_DECOMPOSE_MIN_WORDS	usr/lib/mios/agent-pipe/server.py:682
MIOS_SWARM_DEEPEN	usr/lib/mios/agent-pipe/server.py:436
MIOS_SWARM_DEEPEN_DEADLINE_S	usr/lib/mios/agent-pipe/server.py:443
MIOS_SWARM_DEEPEN_EARLY_EXIT	usr/lib/mios/agent-pipe/server.py:450
MIOS_SWARM_DEEPEN_FETCH	usr/lib/mios/agent-pipe/server.py:447
MIOS_SWARM_DEEPEN_ITERS	usr/lib/mios/agent-pipe/server.py:441
MIOS_SWARM_DEEPEN_JUDGE_S	usr/lib/mios/agent-pipe/server.py:454
MIOS_SWARM_DEEPEN_WEB_S	usr/lib/mios/agent-pipe/server.py:445
MIOS_SWARM_MAX_CPU_NODES	usr/lib/mios/agent-pipe/server.py:599
MIOS_SWARM_MAX_WIDTH	usr/lib/mios/agent-pipe/server.py:589
MIOS_SWARM_MODEL	usr/lib/mios/agent-pipe/server.py:683
MIOS_SWARM_SATURATE	usr/lib/mios/agent-pipe/server.py:439
MIOS_SWARM_SYNTH_RESEARCH_CAP	usr/lib/mios/agent-pipe/mios_pipe/routing/swarm.py:451
MIOS_SWARM_TRUST_ATOMIC	usr/lib/mios/agent-pipe/server.py:596
MIOS_SYS_ENV_TABLE	var/lib/mios/embeddings/ingest_local.py:27
MIOS_TARGET_USER	.devcontainer/install-root-overlay.sh:88
MIOS_TCOMPILE_BIN	tools/compile-templates.py:98
MIOS_TEMPLATE	usr/libexec/mios/user-setup.sh:81
MIOS_TENANT_MAX_CONCURRENCY	usr/lib/mios/agent-pipe/server.py:500
MIOS_TENANT_QUOTA_ENABLE	usr/lib/mios/agent-pipe/server.py:497
MIOS_TMP_DIR	automation/build-mios.sh:194
MIOS_TOKENIZER_PATH	usr/lib/mios/agent-pipe/server.py:764
MIOS_TOML_GET	usr/libexec/mios/automation/35-xrdp-enhanced-session.sh:8
MIOS_TOML_RELATIVE	tools/check-mios-toml-integrity.py:33
MIOS_TOML_RESOLVED	tools/check-resolver-twin.py:51
MIOS_TOOL_PRIORITY_CORE_FIRST	usr/lib/mios/agent-pipe/server.py:3495
MIOS_TOOL_RERANK	usr/lib/mios/agent-pipe/server.py:1705
MIOS_TRACE_ENABLE	usr/lib/mios/agent-pipe/server.py:252
MIOS_TRACE_MAX_SPANS_PER_TRACE	usr/lib/mios/agent-pipe/server.py:255
MIOS_TRACE_MAX_TRACES	usr/lib/mios/agent-pipe/server.py:254
MIOS_TURN_DEADLINE_S	usr/lib/mios/agent-pipe/server.py:510
MIOS_TYPE_RETRY_MAX	usr/lib/mios/agent-pipe/server.py:1620
MIOS_UID	usr/lib/mios/mios_toml.py:312
MIOS_UNIFIED	usr/libexec/mios/user-setup.sh:143
MIOS_UNIFIED_LOG	build-mios.ps1:523
MIOS_URL_QUICKSHELL	automation/66-bake-quickshell.sh:27
MIOS_URL_SURFER	automation/67-bake-surfer.sh:29
MIOS_USERNAME	automation/build-mios.sh:64
MIOS_VALUE_DUP_BASELINE_BUMP	automation/98-drift-checks.sh:3169
MIOS_VERB_EMBED_PERSIST	usr/lib/mios/agent-pipe/mios_pipe/routing/toolsearch.py:237
MIOS_VERB_EMBED_URL	usr/lib/mios/agent-pipe/server.py:3334
MIOS_VERSION_MANIFEST	automation/build.sh:287
MIOS_VERSION_MANIFEST_FINAL	automation/build.sh:525
MIOS_VERSION_SSOT	tools/audit-version-literals.py:45
MIOS_VISION_MAX_BYTES	usr/lib/mios/agent-pipe/mios_pipe/routing/vision.py:113
MIOS_VLLM	tools/generate-names-registry.py:30
MIOS_VLLM_BAKE_MODEL	automation/73-model-prep.sh:85
MIOS_VRAM_BUDGET_MB	usr/lib/mios/agent-pipe/server.py:1130
MIOS_VRAM_CHECKPOINT	usr/lib/mios/agent-pipe/server.py:1129
MIOS_VRAM_COLOAD	usr/lib/mios/agent-pipe/server.py:1133
MIOS_VRAM_COLOAD_EST_MB	usr/lib/mios/agent-pipe/server.py:1137
MIOS_VRAM_COLOAD_RESERVE_MB	usr/lib/mios/agent-pipe/server.py:1135
MIOS_VRAM_RECLAIM_IDLE	usr/lib/mios/agent-pipe/mios_pipe/vram_scheduler.py:51
MIOS_VRAM_TURN_HEADROOM_MB	usr/lib/mios/agent-pipe/server.py:1131
MIOS_WEB_CONCURRENCY	usr/lib/mios/agent-pipe/server.py:248
MIOS_WEB_DISPATCH_JITTER_S	usr/lib/mios/agent-pipe/server.py:249
MIOS_WEB_FANOUT	usr/lib/mios/agent-pipe/server.py:353
MIOS_WORKER_MCP_TOOLS	usr/lib/mios/agent-pipe/mios_pipe/routing/toolsurface.py:166
MIOS_WORKER_TOOLS	usr/lib/mios/agent-pipe/server.py:1687
MIOS_WORKER_TOOL_CTX	usr/lib/mios/agent-pipe/server.py:1689
MIOS_WORKER_TOOL_CTX_MAX	usr/lib/mios/agent-pipe/server.py:1691
MIOS_WORKER_TOOL_CTX_SLOW	usr/lib/mios/agent-pipe/server.py:1690
MIOS_WORKFLOW	Get-MiOS.ps1:61
MIOS_WRITE_ALLOWED_PATHS	usr/lib/mios/agent-pipe/mios_mcp_transport.py:231
